192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/css/calendar.css, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/css/web2py.css, HTTP/1.1, 304, 0.003000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.006000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/share.js, HTTP/1.1, 304, 0.006000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.017000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/calendar.js, HTTP/1.1, 304, 0.016000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/js/web2py.js, HTTP/1.1, 304, 0.016000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/images/twitter.png, HTTP/1.1, 304, 0.001000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/images/facebook.png, HTTP/1.1, 304, 0.003000
192.168.1.104, 2013-10-29 19:08:34, GET, /PictureShop/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
192.168.1.104, 2013-10-29 19:39:00, GET, /, HTTP/1.1, 303, 0.004000
192.168.1.104, 2013-10-29 19:39:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.683000
192.168.1.104, 2013-10-29 19:39:05, GET, /admin/default/index, HTTP/1.1, 303, 0.589000
192.168.1.104, 2013-10-29 19:39:05, GET, /admin/default/site, HTTP/1.1, 200, 0.247000
192.168.1.104, 2013-10-29 19:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:13, GET, /PictureShop/default/index, HTTP/1.1, 200, 0.718000
192.168.1.104, 2013-10-29 19:39:15, GET, /admin/default/site, HTTP/1.1, 200, 0.087000
192.168.1.104, 2013-10-29 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
192.168.1.104, 2013-10-29 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.1.104, 2013-10-29 19:39:21, GET, /admin/default/pack/PictureShop, HTTP/1.1, 200, 0.887000
